gp,min,pts,fg,3p,ft,reb,ast,stl,blk,tov,target_5yrs,pts_per_min,efficiency_rating,ast_tov_ratio
36,27.4,7.4,34.7,25.0,69.9,4.1,1.9,0.4,0.4,1.3,0,0.27007299270072993,12.9,1.4604150653343582
35,26.9,7.2,29.6,23.5,76.5,2.4,3.7,1.1,0.5,1.6,0,0.2676579925650558,13.3,2.31105559025609
74,15.3,5.2,42.2,24.4,67.0,2.2,1.0,0.5,0.3,1.0,0,0.33986928104575165,8.200000000000001,0.9990009990009991
58,11.6,5.7,42.6,22.6,68.9,1.9,0.8,0.6,0.1,1.0,1,0.4913793103448276,8.1,0.7992007992007993
48,11.5,4.5,52.4,0.0,67.4,2.5,0.3,0.3,0.4,0.8,1,0.391304347826087,7.2,0.3745318352059925
75,11.4,3.7,42.3,32.5,73.2,0.8,1.8,0.4,0.0,0.7,0,0.32456140350877194,6.0,2.5677603423680457
62,10.9,6.6,43.5,50.0,81.1,2.0,0.6,0.2,0.1,0.7,1,0.6055045871559632,8.799999999999999,0.8559201141226819
48,10.3,5.7,41.5,30.0,87.5,1.7,0.2,0.2,0.1,0.7,1,0.5533980582524272,7.2,0.28530670470756064
65,9.9,2.4,39.2,23.3,71.4,0.8,2.3,0.3,0.0,1.1,0,0.2424242424242424,4.699999999999999,2.0890099909173476
42,8.5,3.7,38.3,21.4,67.8,1.1,0.3,0.2,0.0,0.7,0,0.43529411764705883,4.6000000000000005,0.42796005706134094
35,6.9,2.3,36.5,33.3,81.8,0.9,0.7,0.1,0.1,0.3,0,0.3333333333333333,3.8,2.3255813953488373
40,6.7,3.6,39.8,13.6,77.6,1.2,0.4,0.3,0.1,0.6,1,0.5373134328358209,5.0,0.6655574043261232
27,6.6,1.3,47.2,0.0,28.6,2.0,0.2,0.2,0.6,0.3,1,0.196969696969697,4.0,0.6644518272425249
45,15.3,5.6,32.3,30.1,86.1,2.0,0.5,0.5,0.3,0.5,0,0.3660130718954248,8.4,0.998003992015968
44,6.4,2.4,53.7,0.0,50.0,1.4,0.2,0.2,0.4,0.6,1,0.37499999999999994,4.000000000000001,0.3327787021630616
40,6.1,2.6,51.4,14.3,68.4,0.4,1.4,0.3,0.0,0.8,1,0.42622950819672134,3.9000000000000004,1.7478152309612982
49,5.3,2.1,37.6,0.0,64.2,1.2,0.2,0.3,0.2,0.5,0,0.39622641509433965,3.5,0.3992015968063872
41,4.2,1.7,34.8,21.4,73.1,0.3,1.0,0.3,0.0,0.4,0,0.4047619047619047,2.9,2.4937655860349124
82,37.2,19.2,49.0,22.7,82.9,11.0,3.6,1.0,0.6,1.9,0,0.5161290322580645,33.5,1.8937401367701212
82,37.2,19.2,49.0,22.7,82.9,11.0,3.6,1.0,0.6,1.9,1,0.5161290322580645,33.5,1.8937401367701212
80,31.4,14.3,52.5,11.1,65.4,8.0,2.4,1.1,0.8,2.2,1,0.45541401273885357,24.400000000000002,1.0904134484325305
82,30.5,13.3,48.9,16.7,66.6,5.1,2.5,1.5,0.3,2.2,1,0.4360655737704918,20.5,1.1358473421172195
76,30.3,10.6,37.5,13.3,73.0,2.9,2.2,2.0,0.2,2.0,1,0.3498349834983498,15.899999999999999,1.099450274862569
61,29.6,12.0,45.4,32.0,74.8,3.1,4.6,1.0,0.3,2.5,0,0.4054054054054054,18.5,1.839264294282287
32,15.2,6.3,53.3,0.0,62.5,5.2,0.4,0.5,0.5,1.0,0,0.4144736842105263,11.9,0.39960039960039967
76,29.3,10.4,51.4,0.0,80.7,5.9,1.6,0.7,0.6,1.5,1,0.35494880546075086,17.700000000000003,1.0659560293137909
52,24.6,9.3,45.1,43.4,83.6,1.9,3.7,0.6,0.0,1.8,0,0.3780487804878049,13.700000000000001,2.0544142143253747
76,22.5,8.8,41.5,0.0,73.6,5.1,1.7,0.8,0.5,1.3,1,0.39111111111111113,15.599999999999998,1.3066871637202153
78,22.0,10.1,44.7,39.0,74.1,3.0,2.2,1.2,0.3,1.2,0,0.45909090909090905,15.600000000000001,1.8318068276436308
51,20.7,8.4,49.7,0.0,66.7,5.4,0.8,0.5,0.5,1.5,1,0.4057971014492754,14.100000000000001,0.5329780146568954
64,20.3,6.2,55.2,0.0,57.2,6.4,0.5,0.4,1.2,0.8,1,0.3054187192118227,13.9,0.6242197253433208
55,20.3,10.4,52.9,0.0,51.5,6.1,0.7,0.4,1.5,1.4,1,0.5123152709359606,17.7,0.4996431120628123
82,19.6,7.4,41.9,4.3,80.6,2.0,3.9,1.0,0.3,1.7,1,0.37755102040816324,12.900000000000002,2.292768959435626
48,18.9,9.1,52.8,0.0,66.9,5.7,0.7,0.8,1.1,1.8,1,0.4814814814814815,15.600000000000001,0.3886729594669628
34,13.4,4.3,30.2,18.5,91.2,1.4,3.1,0.6,0.2,1.0,0,0.3208955223880597,8.599999999999998,3.0969030969030973
42,18.6,8.5,40.0,35.7,83.3,2.0,1.1,0.8,0.1,1.1,1,0.45698924731182794,11.4,0.9990917347865578
